Page,Name,ASIN,Price,Sponsored,Rating,Total Reviews
1,"Mentos Pure Fresh Chewing Gum, Sugar-Free, Xylitol, Fresh Mint, 80 Piece Bottle, recyclable 90% Paperboard Bottle, Pack of 4 Bottles",B0B193RYHF,$17.97 ,Yes,0,0
1,"PUR Gum | Sugar Free Chewing Gum | 100% Xylitol | Vegan, Aspartame Free, Gluten Free & Diabetic Friendly | Natural Spearmint Flavored Gum, 55 Pieces (Pack of 1)",B00ARABK20,$4.99 ,Yes,4.3,"-36,869"
1,"Nicorette 4mg Nicotine Gum to Help Quit Smoking with Behavioral Support Program - Fruit Chill Flavored Stop Smoking Aid, 160 Count",B01MDTAI9R,$65.00 ,Yes,4.7,-707
1,"Nicorette 4mg Nicotine Gum to Help Quit Smoking with Behavioral Support Program - White Ice Mint Flavored Stop Smoking Aid, 160 count",B08B6X96H1,$64.99 ,Yes,4.6,-740
1,"ORBIT Wintermint Sugarfree Chewing Gum, 14 Pieces (Pack of 12)",B001IZHSII,$10.96 ,No,4.8,"-13,166"
1,"EXTRA Spearmint Sugarfree Chewing Gum, 15 Pieces (Pack of 10)",B001NI0MQ0,$12.50 ,No,4.8,"-52,312"
1,"Trident White Peppermint Sugar Free Gum, 16 Count (Pack of 9)",B00IO29CI2,$7.34 ,No,4.8,"-3,683"
1,"Orbit, Spearmint Sugar Free Chewing Gum, 42 ct",B01LYWQVPM,$3.48 ,No,4.7,-456
1,"ICE BREAKERS ICE CUBES Peppermint With Cooling Crystals, Made with Xylitol, Sugar Free Chewing Gum Pouch, 8.11 oz (100 Pieces)",B01J26RZVO,$7.64 ,No,4.8,"-8,095"
1,"Trident Sugar Free Gum Variety Pack, 21 Packs of 14 Pieces (294 Total Pieces)",B08CMKB7G2,$21.59 ,No,4.7,"-6,064"
1,Trident Chewing Gum Sampler Gum Variety Pack | Sugar-Free | Assorted Flavor (10 Pack) Receive 10 out of the 18 flavors - Niro Assorted Flavors,B09MDJK6LS,$14.98 ,No,4.2,-836
1,"Mentos Pure Fresh Sugar-Free Chewing Gum with Xylitol, Spearmint, 50 Piece Bottle (Bulk Pack of 6)",B01BY5611Q,$15.33 ,No,4.7,"-23,275"
1,"ICE BREAKERS ICE CUBES Cinnamon Sugar Free Chewing Gum, Made with Xylitol, 3.24 oz Cube Bottles (6 Count, 40 Pieces)",B07DLCQBKT,$24.90 ,Yes,4.8,"-3,375"
1,SweetXO Very Cherry Candy Filled Gumballs (4oz),B0BVDMXZ14,$4.99 ,Yes,0,0
1,"ICE BREAKERS ICE CUBES BUBBLE BREEZE Sugar Free Chewing Gum, Made with Xylitol, 3.24 oz Bottles (6 Count, 40 Pieces)",B07DL7RXDY,$23.88 ,Yes,4.7,"-1,508"
1,"5 Gum Peppermint Cobalt Sugarfree Gum, 15 Piece (10 Pack)",B004VJRENC,N/S,No,4.8,"-4,016"
1,"ICE BREAKERS ICE CUBES ARCTIC GRAPE Fruity, Made with Xylitol, Sugar Free Chewing Gum Pouch, 8.11 oz (100 Pieces)",B01J278YIQ,$7.64 ,No,4.6,"-11,808"
1,"ICE BREAKERS ICE CUBES Spearmint Sugar Free Chewing Gum, Made with Xylitol, 8.11 oz Pouch (100 Pieces)",B01MFBFUOC,$7.64 ,No,4.8,"-5,114"
1,"Trident Cinnamon Sugar Free Gum, 14 Count (Pack of 12) (168 Total Pieces)",B0725SHZ43,$12.38 ,No,4.7,"-29,037"
1,SweetXO Dubble Bubble Watermelon Gumballs (4oz),B0BS52VHDJ,$4.99 ,Yes,1,-1
1,"OLLY Probiotic + Prebiotic Gummy, Digestive Support and Gut Health, 500 Million CFUs, Fiber, Adult Chewable Supplement for Men and Women, Peach, 30 Day Supply - 30 Count",B012RFVHSO,$12.88 ,Yes,4.6,"-26,494"
1,"Clove Gum Vintage Chewing Gum - 20 Individually Wrapped Clove Flavored Chewing Gum Packs with Nosh Pack Mints, 100 Pieces",B09N62K5GH,$24.95 ,Yes,4.4,-41
1,Simply Gum | Peppermint | Pack of Six (90 Pieces Total) | Plastic Free + Aspartame Free + non GMO,B00NJB8G7G,$14.99 ,Yes,3.9,"-11,178"
1,"(8 Pack) ECLIPSE Polar Ice Sugar Free Chewing Gum Bulk Pack, 18 Piece",B006Z0J3H0,$8.72 ,No,4.7,"-4,269"
1,"Dentyne Ice Arctic Chill Sugar Free Gum, 16 Count (Pack of 9) (144 Total Pieces)",B006R0YRPG,$13.50 ,No,4.8,"-3,370"
1,"Wrigley, Doublemint Gum, 45 ct",B004OZDJW8,$3.48 ,No,4.7,-824
1,"ICE BREAKERS ICE CUBES Peppermint Sugar Free Chewing Gum, Made with Xylitol, 3.24 oz Cube Bottles (4 Count, 40 Pieces)",B0018JMP00,$12.38 ,No,4.8,"-5,152"
1,"Wrigley Doublemint, Spearmint, Juicy Fruit, Big Red, Winterfresh Chewing Gum - 4 Packs of Each - Fresh Variety Assortment with Refrigerator Magnet 20 Total Packs of Gum",B07VS2CFNH,$14.99 ,Yes,4.5,-258
1,"Trident White Peppermint Sugar Free Gum, 180 Pieces",B007THAHHS,$8.18 ,No,4.7,"-4,200"
1,"Tootsie Roll Dubble Bubble, No Peanut Allergen Tub, Assorted, 300 Count.",B004CHASWC,$18.74 ,No,4.6,"-6,164"
1,"Trident Tropical Twist Sugar Free Gum, 6 Pocket Packs of 28 Pieces (168 Total Pieces)",B08DD6DH6X,$12.69 ,No,4.6,"-1,426"
1,"Juicy Fruit Gum Collisions Gum, Strawberry Watermelon, 15 Count (Pack of 10)",B00WYRSJNW,$11.84 ,No,4.7,"-3,813"
1,"ECLIPSE Winterfrost Sugarfree Gum, 8.8-Ounce 180 piece bag",B0083GJLI0,$8.28 ,No,4.7,"-8,774"
1,"Eclipse, Sugar Free Gum Spearmint, 120 ct",B0083GJKR2,$5.89 ,No,4.6,-695
1,"Trident Spearmint Sugar Free Gum, 12 Packs of 14 Pieces (168 Total Pieces)",B071FC8VPH,$9.34 ,No,4.8,"-4,666"
